LAMBDA,NOISE_TEMPERATURE,h_NULL,h_LR,j,dag,nshd_c,tpr_c,size
0.1,0.01,0.01,0.01,11,21,8.0333,0.1124,258
0.1,0.01,0.01,0.01,11,22,8.3333,0.0803,249
0.1,0.01,0.01,0.01,11,23,7.3,0.1306,245
100.0,0.1,0.001,0.0001,265,0,7.9,0.163,276
100.0,0.1,0.001,0.0001,265,1,8.5,0.1726,307
100.0,0.1,0.001,0.0001,265,2,6.3,0.2134,239
100.0,0.1,0.001,0.0001,265,3,10.1667,0.1264,348
100.0,0.1,0.001,0.0001,265,4,6.0333,0.122,205
100.0,0.1,0.001,0.0001,265,5,7.1,0.1548,252
100.0,0.1,0.001,0.0001,265,6,8.1,0.1638,287
100.0,0.1,0.001,0.0001,265,7,8.5333,0.15,300
100.0,0.1,0.001,0.0001,265,8,7.0667,0.1822,258
100.0,0.1,0.001,0.0001,265,9,9.6667,0.1321,333
100.0,0.1,0.001,0.0001,265,10,6.2,0.1629,221
100.0,0.1,0.001,0.0001,265,11,8.7667,0.1503,306
100.0,0.1,0.001,0.0001,265,12,5.9,0.1594,207
100.0,0.1,0.001,0.0001,265,13,7.2,0.1628,258
100.0,0.1,0.001,0.0001,265,14,8.1,0.1538,286
100.0,0.1,0.001,0.0001,265,15,4.4333,0.184,163
100.0,0.1,0.001,0.0001,265,16,5.3,0.1888,196
100.0,0.1,0.001,0.0001,265,17,6.1,0.1606,218
100.0,0.1,0.001,0.0001,265,18,5.6333,0.1884,207
100.0,0.1,0.001,0.0001,265,19,6.9333,0.1647,249
100.0,0.1,0.001,0.0001,265,20,8.8,0.1212,297
100.0,0.1,0.001,0.0001,265,21,7.1667,0.1647,255
100.0,0.1,0.001,0.0001,265,22,8.4667,0.1438,292
100.0,0.1,0.001,0.0001,265,23,5.6333,0.1558,199
100.0,1.0,0.001,0.1,288,0,7.6667,0.1579,266
100.0,1.0,0.001,0.1,288,1,7.0667,0.1885,260
100.0,1.0,0.001,0.1,288,2,5.6,0.2336,214
100.0,1.0,0.001,0.1,288,3,9.9,0.1208,331
100.0,1.0,0.001,0.1,288,4,6.3,0.1402,214
100.0,1.0,0.001,0.1,288,5,7.4667,0.1679,268
100.0,1.0,0.001,0.1,288,6,6.8667,0.1597,238
100.0,1.0,0.001,0.1,288,7,7.4333,0.1506,259
100.0,1.0,0.001,0.1,288,8,7.1333,0.1693,254
100.0,1.0,0.001,0.1,288,9,8.9,0.1296,301
100.0,1.0,0.001,0.1,288,10,6.2,0.1408,213
100.0,1.0,0.001,0.1,288,11,8.1333,0.1803,294
100.0,1.0,0.001,0.1,288,12,6.4667,0.1579,228
100.0,1.0,0.001,0.1,288,13,8.0,0.1372,277
100.0,1.0,0.001,0.1,288,14,6.8667,0.1774,248
100.0,1.0,0.001,0.1,288,15,5.7333,0.1691,207
100.0,1.0,0.001,0.1,288,16,5.4333,0.1641,195
100.0,1.0,0.001,0.1,288,17,5.8667,0.1594,207
100.0,1.0,0.001,0.1,288,18,5.6333,0.1765,204
100.0,1.0,0.001,0.1,288,19,6.0667,0.1789,218
100.0,1.0,0.001,0.1,288,20,7.9667,0.1365,271
100.0,1.0,0.001,0.1,288,21,7.0,0.168,250
100.0,1.0,0.001,0.1,288,22,7.7,0.1519,270
100.0,1.0,0.001,0.1,288,23,5.9667,0.1674,215
0.1,0.01,0.001,0.0001,5,0,8.8333,0.1443,298
0.1,0.01,0.001,0.0001,5,1,7.6667,0.1922,281
0.1,0.01,0.001,0.0001,5,2,7.9667,0.1637,281
0.1,0.01,0.001,0.0001,5,3,9.1667,0.1344,305
0.1,0.01,0.001,0.0001,5,4,7.4,0.124,250
0.1,0.01,0.001,0.0001,5,5,8.3667,0.1359,287
0.1,0.01,0.001,0.0001,5,6,8.2,0.1655,290
0.1,0.01,0.001,0.0001,5,7,8.2667,0.1399,286
0.1,0.01,0.001,0.0001,5,8,8.2333,0.1429,280
0.1,0.01,0.001,0.0001,5,9,8.5667,0.1324,287
0.1,0.01,0.001,0.0001,5,10,7.9,0.1301,269
0.1,0.01,0.001,0.0001,5,11,8.6,0.1821,313
0.1,0.01,0.001,0.0001,5,12,7.4,0.1635,263
0.1,0.01,0.001,0.0001,5,13,8.2667,0.1136,273
0.1,0.01,0.001,0.0001,5,14,8.2333,0.1538,286
0.1,0.01,0.001,0.0001,5,15,7.3333,0.128,250
0.1,0.01,0.001,0.0001,5,16,7.7333,0.1423,267
0.1,0.01,0.001,0.0001,5,17,7.7,0.1298,262
0.1,0.01,0.001,0.0001,5,18,7.2667,0.148,250
0.1,0.01,0.001,0.0001,5,19,8.6,0.1414,297
0.1,0.01,0.001,0.0001,5,20,8.6333,0.1379,290
0.1,0.01,0.001,0.0001,5,21,7.8,0.1667,276
0.1,0.01,0.001,0.0001,5,22,8.2333,0.1568,287
0.1,0.01,0.001,0.0001,5,23,7.5667,0.1357,258
10.0,0.01,0.0,0.001,162,0,7.8333,0.1476,271
10.0,0.01,0.0,0.001,162,1,7.6333,0.1812,276
10.0,0.01,0.0,0.001,162,2,6.7333,0.204,250
10.0,0.01,0.0,0.001,162,3,8.4,0.1488,289
10.0,0.01,0.0,0.001,162,4,7.1333,0.1139,237
10.0,0.01,0.0,0.001,162,5,7.2333,0.1255,247
10.0,0.01,0.0,0.001,162,6,7.3,0.1388,245
10.0,0.01,0.0,0.001,162,7,7.7333,0.1536,267
10.0,0.01,0.0,0.001,162,8,7.8333,0.1513,271
10.0,0.01,0.0,0.001,162,9,7.8,0.1507,272
10.0,0.01,0.0,0.001,162,10,7.4,0.1042,240
10.0,0.01,0.0,0.001,162,11,8.1333,0.1775,293
10.0,0.01,0.0,0.001,162,12,7.0,0.1566,249
10.0,0.01,0.0,0.001,162,13,7.7667,0.1391,266
10.0,0.01,0.0,0.001,162,14,7.3667,0.1791,268
10.0,0.01,0.0,0.001,162,15,6.4,0.1312,221
10.0,0.01,0.0,0.001,162,16,6.6333,0.1639,238
10.0,0.01,0.0,0.001,162,17,6.6667,0.1459,233
10.0,0.01,0.0,0.001,162,18,6.1667,0.1613,217
10.0,0.01,0.0,0.001,162,19,6.8,0.1453,234
10.0,0.01,0.0,0.001,162,20,7.4,0.1615,260
10.0,0.01,0.0,0.001,162,21,7.2,0.1411,248
10.0,0.01,0.0,0.001,162,22,7.7,0.1685,273
10.0,0.01,0.0,0.001,162,23,7.2333,0.1301,246
1.0,1.0,0.0,0.1,124,0,7.3333,0.1797,256
1.0,1.0,0.0,0.1,124,1,7.4,0.1776,259
1.0,1.0,0.0,0.1,124,2,6.3333,0.2094,234
1.0,1.0,0.0,0.1,124,3,7.3333,0.168,250
1.0,1.0,0.0,0.1,124,4,6.6333,0.1075,214
1.0,1.0,0.0,0.1,124,5,7.3,0.1198,242
1.0,1.0,0.0,0.1,124,6,7.3667,0.1393,244
1.0,1.0,0.0,0.1,124,7,7.3333,0.1406,249
1.0,1.0,0.0,0.1,124,8,7.2,0.1732,254
1.0,1.0,0.0,0.1,124,9,7.2667,0.1469,245
