MAX_SIZE,z_RHO,z_MU,j,dag,nshd_c,tpr_c,size
66,0,0,5,16,   0.9667      ,   0.6471      ,  51      
66,0,0,5,17,   1.1000      ,   0.6042      ,  48      
66,0,0,5,18,   1.0667      ,   0.6667      ,  48      
66,0,0,5,19,   1.3333      ,   0.5745      ,  47      
66,0,0,5,20,   2.2333      ,   0.3600      ,  50      
66,0,0,5,21,   0.9667      ,   0.7170      ,  53      
66,0,0,5,22,   2.5333      ,   0.2778      ,  54      
66,0,0,5,23,   0.8667      ,   0.6600      ,  50      
66,0.0280244755372679,0,7,0,   1.7000      ,   0.6250      ,  64      
66,0.0280244755372679,0,7,1,   1.1000      ,   0.7385      ,  65      
66,0.0280244755372679,0,7,2,   1.0667      ,   0.7031      ,  64      
66,0.0280244755372679,0,7,3,   1.8667      ,   0.5000      ,  62      
66,0.0280244755372679,0,7,4,   1.2667      ,   0.5312      ,  64      
66,0.0280244755372679,0,7,5,   1.5667      ,   0.5410      ,  61      
66,0.0280244755372679,0,7,6,   1.7667      ,   0.5556      ,  63      
66,0.0280244755372679,0,7,7,   0.5333      ,   0.8462      ,  65      
66,0.0280244755372679,0,7,8,   1.1000      ,   0.7344      ,  64      
66,0.0280244755372679,0,7,9,   1.7667      ,   0.4833      ,  60      
66,0.0280244755372679,0,7,10,   0.7333      ,   0.7188      ,  64      
66,0.0280244755372679,0,7,11,   1.6333      ,   0.6290      ,  62      
66,0.0280244755372679,0,7,12,   0.8000      ,   0.7031      ,  64      
66,0.0280244755372679,0,7,13,   1.1667      ,   0.6250      ,  64      
66,0.0280244755372679,0,7,14,   1.1000      ,   0.6769      ,  65      
66,0.0280244755372679,0,7,15,   0.9667      ,   0.5846      ,  65      
66,0.0280244755372679,0,7,16,   0.9000      ,   0.6250      ,  64      
66,0.0280244755372679,0,7,17,   1.0000      ,   0.6000      ,  65      
66,0.0280244755372679,0,7,18,   0.9000      ,   0.6719      ,  64      
66,0.0280244755372679,0,7,19,   1.2333      ,   0.6190      ,  63      
66,0.0280244755372679,0,7,20,   1.9000      ,   0.4923      ,  65      
66,0.0280244755372679,0,7,21,   0.8000      ,   0.7344      ,  64      
66,0.0280244755372679,0,7,22,   1.6667      ,   0.5556      ,  63      
66,0.0280244755372679,0,7,23,   0.8667      ,   0.6462      ,  65      
