LAMBDA,NOISE_TEMPERATURE,h_NULL,h_LR,j,dag,nshd_c,tpr_c,size,"
Hyperparameter set"
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,3,0.7667,0.8,55,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,4,0.3,0.875,48,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,5,0.4,0.9394,66,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,6,1.0333,0.678,59,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,7,1.3,0.6716,67,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,8,0.5,0.8596,57,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,9,0.1333,0.9796,49,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,10,0.8333,0.8103,58,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,11,0.2333,0.9508,61,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,12,0.7,0.8333,54,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,13,1.1667,0.7164,67,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,14,0.6333,0.7381,42,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,15,0.7333,0.7963,54,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,16,0.4,0.8793,58,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,17,1.0333,0.7333,60,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,18,0.1667,0.9804,51,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,19,0.8,0.7619,63,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,20,0.9,0.7018,57,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,21,1.2,0.6567,67,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,22,0.7333,0.7966,59,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,10,23,0.3667,0.8889,54,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,0,1.4667,0.55,60,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,1,0.4333,0.8545,55,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,2,0.0667,0.9804,51,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,3,0.8667,0.7586,58,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,4,0.3333,0.8723,47,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,5,0.3667,0.9545,66,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,6,1.0333,0.678,59,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,7,1.2,0.6957,69,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,8,0.6,0.8364,55,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,9,0.1333,0.9796,49,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,10,0.9,0.7931,58,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,11,0.2333,0.9508,61,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,12,0.8667,0.7627,59,STE_Logistic_84
